video,frame,image,actual,predicted
video_2.mp4,209,evaluation\frames\video_2_frame_209.jpg,no_detection,no_detection
video_2.mp4,228,evaluation\frames\video_2_frame_228.jpg,,no_detection
video_2.mp4,247,evaluation\frames\video_2_frame_247.jpg,,no_detection
video_2.mp4,266,evaluation\frames\video_2_frame_266.jpg,,helmet
video_2.mp4,285,evaluation\frames\video_2_frame_285.jpg,,no_detection
video_2.mp4,304,evaluation\frames\video_2_frame_304.jpg,,no_detection
video_2.mp4,323,evaluation\frames\video_2_frame_323.jpg,,no_detection
video_2.mp4,342,evaluation\frames\video_2_frame_342.jpg,no_helmet,no_detection
video_3.mp4,0,evaluation\frames\video_3_frame_0.jpg,,no_detection
video_3.mp4,22,evaluation\frames\video_3_frame_22.jpg,no_helmet,no_detection
video_3.mp4,44,evaluation\frames\video_3_frame_44.jpg,no_helmet,no_detection
video_3.mp4,66,evaluation\frames\video_3_frame_66.jpg,no_detection,helmet
video_3.mp4,88,evaluation\frames\video_3_frame_88.jpg,no_detection,no_detection
video_3.mp4,110,evaluation\frames\video_3_frame_110.jpg,no_detection,no_detection
video_3.mp4,132,evaluation\frames\video_3_frame_132.jpg,no_detection,no_detection
video_3.mp4,154,evaluation\frames\video_3_frame_154.jpg,no_detection,no_detection
video_3.mp4,176,evaluation\frames\video_3_frame_176.jpg,no_detection,no_detection
video_3.mp4,198,evaluation\frames\video_3_frame_198.jpg,helmet,no_detection
video_3.mp4,220,evaluation\frames\video_3_frame_220.jpg,,no_detection
video_3.mp4,242,evaluation\frames\video_3_frame_242.jpg,no_detection,helmet
video_3.mp4,264,evaluation\frames\video_3_frame_264.jpg,no_detection,no_detection
video_3.mp4,286,evaluation\frames\video_3_frame_286.jpg,no_detection,no_detection
video_3.mp4,308,evaluation\frames\video_3_frame_308.jpg,,no_detection
video_3.mp4,330,evaluation\frames\video_3_frame_330.jpg,,no_detection
video_3.mp4,352,evaluation\frames\video_3_frame_352.jpg,helmet,no_detection
video_3.mp4,374,evaluation\frames\video_3_frame_374.jpg,helmet,no_detection
video_3.mp4,396,evaluation\frames\video_3_frame_396.jpg,no_detection,no_detection
video_3.mp4,418,evaluation\frames\video_3_frame_418.jpg,,no_detection
video_4.mp4,0,evaluation\frames\video_4_frame_0.jpg,no_detection,no_detection
video_4.mp4,15,evaluation\frames\video_4_frame_15.jpg,no_detection,no_detection
video_4.mp4,30,evaluation\frames\video_4_frame_30.jpg,no_detection,no_detection
video_4.mp4,45,evaluation\frames\video_4_frame_45.jpg,no_detection,no_detection
video_4.mp4,60,evaluation\frames\video_4_frame_60.jpg,no_detection,helmet
video_4.mp4,75,evaluation\frames\video_4_frame_75.jpg,no_detection,no_detection
video_4.mp4,90,evaluation\frames\video_4_frame_90.jpg,no_detection,no_detection
video_4.mp4,105,evaluation\frames\video_4_frame_105.jpg,no_detection,no_detection
video_4.mp4,120,evaluation\frames\video_4_frame_120.jpg,no_detection,no_detection
video_4.mp4,135,evaluation\frames\video_4_frame_135.jpg,no_detection,no_detection
video_4.mp4,150,evaluation\frames\video_4_frame_150.jpg,no_detection,no_detection
video_4.mp4,165,evaluation\frames\video_4_frame_165.jpg,no_detection,no_detection
video_4.mp4,180,evaluation\frames\video_4_frame_180.jpg,no_detection,no_detection
video_4.mp4,195,evaluation\frames\video_4_frame_195.jpg,no_detection,no_detection
video_4.mp4,210,evaluation\frames\video_4_frame_210.jpg,no_detection,no_detection
video_4.mp4,225,evaluation\frames\video_4_frame_225.jpg,no_detection,no_detection
video_5.mp4,0,evaluation\frames\video_5_frame_0.jpg,no_detection,no_detection
video_5.mp4,22,evaluation\frames\video_5_frame_22.jpg,helmet,helmet
video_5.mp4,44,evaluation\frames\video_5_frame_44.jpg,helmet,helmet
video_5.mp4,66,evaluation\frames\video_5_frame_66.jpg,no_detection,no_detection
video_5.mp4,88,evaluation\frames\video_5_frame_88.jpg,helmet,helmet
video_5.mp4,110,evaluation\frames\video_5_frame_110.jpg,helmet,helmet
video_5.mp4,132,evaluation\frames\video_5_frame_132.jpg,helmet,helmet
video_5.mp4,154,evaluation\frames\video_5_frame_154.jpg,helmet,helmet
video_5.mp4,176,evaluation\frames\video_5_frame_176.jpg,helmet,helmet
video_5.mp4,198,evaluation\frames\video_5_frame_198.jpg,helmet,helmet
video_5.mp4,220,evaluation\frames\video_5_frame_220.jpg,helmet,helmet
video_5.mp4,242,evaluation\frames\video_5_frame_242.jpg,helmet,helmet
video_5.mp4,264,evaluation\frames\video_5_frame_264.jpg,no_detection,no_detection
video_5.mp4,286,evaluation\frames\video_5_frame_286.jpg,no_detection,no_detection
video_5.mp4,308,evaluation\frames\video_5_frame_308.jpg,no_detection,no_detection
video_5.mp4,330,evaluation\frames\video_5_frame_330.jpg,no_detection,no_detection
video_5.mp4,352,evaluation\frames\video_5_frame_352.jpg,no_detection,no_detection
video_5.mp4,374,evaluation\frames\video_5_frame_374.jpg,helmet,helmet
video_5.mp4,396,evaluation\frames\video_5_frame_396.jpg,helmet,no_detection
video_6.mp4,0,evaluation\frames\video_6_frame_0.jpg,helmet,helmet
video_6.mp4,23,evaluation\frames\video_6_frame_23.jpg,helmet,helmet
video_6.mp4,46,evaluation\frames\video_6_frame_46.jpg,helmet,helmet
video_6.mp4,69,evaluation\frames\video_6_frame_69.jpg,no_helmet,helmet
video_6.mp4,92,evaluation\frames\video_6_frame_92.jpg,no_helmet,no_helmet
video_6.mp4,115,evaluation\frames\video_6_frame_115.jpg,helmet,helmet
video_6.mp4,138,evaluation\frames\video_6_frame_138.jpg,helmet,helmet
video_6.mp4,161,evaluation\frames\video_6_frame_161.jpg,helmet,helmet
video_6.mp4,184,evaluation\frames\video_6_frame_184.jpg,helmet,helmet
video_6.mp4,207,evaluation\frames\video_6_frame_207.jpg,helmet,helmet
video_6.mp4,230,evaluation\frames\video_6_frame_230.jpg,helmet,helmet
video_6.mp4,253,evaluation\frames\video_6_frame_253.jpg,helmet,helmet
video_6.mp4,276,evaluation\frames\video_6_frame_276.jpg,helmet,helmet
video_6.mp4,299,evaluation\frames\video_6_frame_299.jpg,helmet,helmet
video_6.mp4,322,evaluation\frames\video_6_frame_322.jpg,helmet,helmet
video_6.mp4,345,evaluation\frames\video_6_frame_345.jpg,helmet,helmet
video_6.mp4,368,evaluation\frames\video_6_frame_368.jpg,helmet,helmet
video_6.mp4,391,evaluation\frames\video_6_frame_391.jpg,helmet,helmet
video_6.mp4,414,evaluation\frames\video_6_frame_414.jpg,helmet,helmet
video_6.mp4,437,evaluation\frames\video_6_frame_437.jpg,helmet,helmet
video_7.mp4,0,evaluation\frames\video_7_frame_0.jpg,helmet,helmet
video_7.mp4,90,evaluation\frames\video_7_frame_90.jpg,helmet,helmet
video_7.mp4,180,evaluation\frames\video_7_frame_180.jpg,helmet,no_helmet
video_7.mp4,270,evaluation\frames\video_7_frame_270.jpg,helmet,helmet
video_7.mp4,360,evaluation\frames\video_7_frame_360.jpg,helmet,helmet
video_7.mp4,450,evaluation\frames\video_7_frame_450.jpg,helmet,helmet
video_7.mp4,540,evaluation\frames\video_7_frame_540.jpg,helmet,helmet
video_7.mp4,630,evaluation\frames\video_7_frame_630.jpg,helmet,helmet
video_7.mp4,720,evaluation\frames\video_7_frame_720.jpg,helmet,no_helmet
video_7.mp4,810,evaluation\frames\video_7_frame_810.jpg,helmet,helmet
video_7.mp4,900,evaluation\frames\video_7_frame_900.jpg,helmet,helmet
video_7.mp4,990,evaluation\frames\video_7_frame_990.jpg,helmet,helmet
video_7.mp4,1080,evaluation\frames\video_7_frame_1080.jpg,helmet,helmet
video_7.mp4,1170,evaluation\frames\video_7_frame_1170.jpg,helmet,helmet
video_7.mp4,1260,evaluation\frames\video_7_frame_1260.jpg,helmet,helmet
video_7.mp4,1350,evaluation\frames\video_7_frame_1350.jpg,helmet,helmet
video_7.mp4,1440,evaluation\frames\video_7_frame_1440.jpg,helmet,helmet
video_7.mp4,1530,evaluation\frames\video_7_frame_1530.jpg,helmet,no_helmet
video_7.mp4,1620,evaluation\frames\video_7_frame_1620.jpg,helmet,helmet
video_7.mp4,1710,evaluation\frames\video_7_frame_1710.jpg,helmet,helmet
